# name          ra           dec
e1  01:32:50.7687  +30:35:07.14
e2	01:33:34.2600  +30:33:27.60
e3  01:33:39.5200  +30:45:40.50
e4  01:33:41.9300  +30:47:28.30
e5  01:33:44.5900  +30:44:36.90	
e6	01:34:06.6300  +30:41:47.80
e7  01:34:10.5900  +30:46:16.10
e8  01:34:16.10    +30:33:44.9 
